Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
9/20,0/20,9050,905000,86.77309942245483,60.45645018666983,1548.083431839943,136.41775223985314,0.0
9/20,1/20,9100,910000,88.71916556358337,60.00284879282117,1547.9292530417442,147.75900634005666,0.0
9/20,2/20,9150,915000,88.02093434333801,60.45001461356878,1564.6137654185295,146.2607411686331,0.0
9/20,3/20,9200,920000,87.77816891670227,60.425052020698786,1584.7093231081963,163.98933922871947,0.0
9/20,4/20,9250,925000,86.13735008239746,60.223530538380146,1565.681667983532,164.027081143111,0.0
9/20,5/20,9300,930000,89.57021808624268,61.00936345756054,1550.3647628426552,132.26975233107805,0.0
9/20,6/20,9350,935000,86.77387547492981,60.42834520339966,1553.9965191483498,135.69791075587273,0.0
9/20,7/20,9400,940000,88.35751152038574,59.70440848171711,1551.8269271850586,134.5357617828995,0.0
9/20,8/20,9450,945000,88.52387738227844,59.8307089060545,1571.473951280117,153.1058075465262,0.0
9/20,9/20,9500,950000,85.49620842933655,61.2750191912055,1552.794140279293,150.2065355926752,0.0
9/20,10/20,9550,955000,86.61624455451965,60.514670580625534,1575.3893511891365,146.96832285821438,0.0
9/20,11/20,9600,960000,87.81594562530518,59.683250080794096,1568.3949843645096,137.67836237326264,0.0
9/20,12/20,9650,965000,89.00821256637573,60.345987781882286,1569.435497879982,137.71322312951088,0.0
9/20,13/20,9700,970000,87.80715608596802,59.255055729299784,1557.986186504364,148.3145743459463,0.0
9/20,14/20,9750,975000,88.7380518913269,58.49603410065174,1562.4961904883385,136.59454862773418,0.0
9/20,15/20,9800,980000,86.92991089820862,58.09474778920412,1578.9771216511726,143.75140419229865,0.0
9/20,16/20,9850,985000,90.00347948074341,59.11051846295595,1576.4330189228058,153.25174168124795,0.0
9/20,17/20,9900,990000,90.21979665756226,59.126531179994345,1552.9092082381248,142.3841722626239,0.0
9/20,18/20,9950,995000,90.17592120170593,58.99751905724406,1589.5282774567604,143.9825469776988,0.0
9/20,19/20,10000,1000000,87.74797344207764,57.90649012103677,1597.7483749389648,147.52883471548557,0.0
10/20,0/20,10050,1005000,87.15296959877014,57.75777970254421,1573.5225253105164,145.7713307365775,0.0
10/20,1/20,10100,1010000,84.03182888031006,58.47766354680061,1601.4854479432106,133.1470090560615,0.0
10/20,2/20,10150,1015000,88.2889051437378,59.12830187752843,1600.5098266005516,147.28137363307178,0.0
10/20,3/20,10200,1020000,88.81164073944092,59.840740114450455,1578.3893840909004,140.81673893146217,0.0
10/20,4/20,10250,1025000,87.52217769622803,60.432443279773,1622.4813613891602,156.13340318575501,0.0
10/20,5/20,10300,1030000,87.87149596214294,59.41719726473093,1599.648366868496,156.09316077642143,0.0
10/20,6/20,10350,1035000,85.26422500610352,58.7755738645792,1616.1847334504128,145.1384974885732,0.0
10/20,7/20,10400,1040000,86.3542115688324,58.69757177308202,1602.3521095514297,151.2911728862673,0.0
10/20,8/20,10450,1045000,90.6251790523529,58.345405865460634,1631.8879680037498,145.88619779795408,0.0
10/20,9/20,10500,1050000,85.49815392494202,58.52018413692713,1626.6136714816093,144.0273419506848,0.0
10/20,10/20,10550,1055000,88.43718004226685,59.06239988654852,1623.6823114156723,152.76486434973776,0.0
10/20,11/20,10600,1060000,88.4748957157135,58.612050361931324,1607.0643529891968,136.53810472786427,0.0
10/20,12/20,10650,1065000,86.11219906806946,59.41715607792139,1590.9814810752869,149.5599831826985,0.0
10/20,13/20,10700,1070000,91.98986554145813,59.3440574593842,1595.9896443486214,158.096164483577,0.0
10/20,14/20,10750,1075000,90.28827857971191,58.05853629112244,1586.8533228039742,141.1269213501364,0.0
10/20,15/20,10800,1080000,90.9043881893158,58.8125330992043,1611.1285392045975,142.10899218916893,0.0
10/20,16/20,10850,1085000,87.97542190551758,57.83025720342994,1588.6567823886871,150.88655946031213,0.0
10/20,17/20,10900,1090000,88.95313239097595,58.45748023316264,1571.6803411245346,144.9636627342552,0.0
