Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
1/20,0/20,1050,105000,182.76229739189148,2939.1837360858917,281.21583269536495,97.81058885157108,0.0
1/20,1/20,1100,110000,182.5489740371704,2890.7277154922485,292.77928621321917,98.05673918128014,0.0
1/20,2/20,1150,115000,183.10282444953918,2911.7669900655746,306.2819166854024,98.16817378252745,0.0
1/20,3/20,1200,120000,182.57017517089844,3020.307506799698,298.7340332865715,99.88480025529861,0.0
1/20,4/20,1250,125000,179.70891618728638,3032.1376552581787,312.82715487480164,101.47426208108664,0.0
1/20,5/20,1300,130000,177.16949915885925,3114.6296372413635,324.08406077325344,103.07761696726084,0.0
1/20,6/20,1350,135000,176.85576152801514,3201.5282113552094,330.5330516323447,102.87649958580732,0.0
1/20,7/20,1400,140000,178.19431018829346,3230.973757505417,349.5283868610859,103.59307613968849,0.0
1/20,8/20,1450,145000,180.97735977172852,3261.7495744228363,327.3678667321801,106.83636572957039,0.0
1/20,9/20,1500,150000,180.29171776771545,3293.068328142166,352.2318015769124,107.6291496604681,0.0
1/20,10/20,1550,155000,181.29838848114014,3361.5197315216064,326.1354899480939,106.15351398289204,0.0
1/20,11/20,1600,160000,176.3074448108673,3420.78511595726,344.5921397358179,109.99514105916023,0.0
1/20,12/20,1650,165000,178.31395745277405,3454.991142511368,371.18315955996513,111.22314562648535,0.0
1/20,13/20,1700,170000,175.72358107566833,3500.7911610603333,379.0085720270872,112.40867472440004,0.0
1/20,14/20,1750,175000,177.501318693161,3511.9622242450714,378.26028430461884,113.52225438505411,0.0
1/20,15/20,1800,180000,178.66889071464539,3557.5003979206085,366.82408802211285,115.4691385999322,0.0
1/20,16/20,1850,185000,178.13845038414001,3602.028165102005,353.60405814647675,115.1428815126419,0.0
1/20,17/20,1900,190000,175.31175541877747,3632.63653922081,373.9695412069559,115.17378499358892,0.0
1/20,18/20,1950,195000,181.92093086242676,3677.59219956398,398.862146705389,117.52159618586302,0.0
1/20,19/20,2000,200000,181.02640628814697,3716.8674936294556,444.0952433347702,118.62447915971279,0.0
2/20,0/20,2050,205000,182.32387232780457,3754.3710267543793,381.9441039338708,118.05350566655397,0.0
