Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
1/20,16/20,1850,185000,192.00639581680298,367.5790710449219,120.23457707464695,3544.9015531539917,0.0
1/20,17/20,1900,190000,188.26266884803772,374.8775903582573,123.71544802188873,3666.1007781028748,0.0
1/20,18/20,1950,195000,190.2777614593506,360.6590800881386,122.30205212533474,3726.779111146927,0.0
1/20,19/20,2000,200000,189.84221768379211,382.4097076654434,123.23578085750341,3827.3755481243134,0.0
2/20,0/20,2050,205000,190.26467370986938,369.26297229528427,125.08404712378979,3909.25457239151,0.0
2/20,1/20,2100,210000,188.46628046035767,395.7153510004282,128.93362595885992,4002.9663355350494,0.0
2/20,2/20,2150,215000,185.107919216156,376.59592667222023,126.74835631996393,4051.2241547107697,0.0
2/20,3/20,2200,220000,185.89817261695862,361.58684876561165,129.23629929870367,4056.800707101822,0.0
2/20,4/20,2250,225000,187.98865699768066,366.1843264400959,130.42666629701853,4076.8764419555664,0.0
2/20,5/20,2300,230000,188.2349615097046,363.95086999982595,132.19441128522158,4152.545722484589,0.0
2/20,6/20,2350,235000,185.66997265815735,356.4496311843395,129.8393037468195,4199.87450003624,0.0
2/20,7/20,2400,240000,187.68290448188782,397.3424053937197,132.5016136392951,4271.5045964717865,0.0
2/20,8/20,2450,245000,186.19479203224182,364.060804463923,135.64268774539232,4354.820392370224,0.0
2/20,9/20,2500,250000,183.68029117584229,361.9863399118185,137.60293824970722,4374.741607666016,0.0
2/20,10/20,2550,255000,183.9557683467865,360.13878451287746,138.50634298473597,4398.266561985016,0.0
2/20,11/20,2600,260000,184.96489715576172,355.2533358335495,137.95955269038677,4438.58078455925,0.0
2/20,12/20,2650,265000,185.6539328098297,357.85746090114117,139.8942608833313,4416.588136434555,0.01
2/20,13/20,2700,270000,184.73585867881775,329.39315451681614,139.24774964898825,4466.33327126503,0.0
2/20,14/20,2750,275000,187.9003200531006,323.56447868049145,141.47751501202583,4492.322061538696,0.0
2/20,15/20,2800,280000,187.12190413475037,327.4111328125,139.34430383890867,4512.332096338272,0.0
2/20,16/20,2850,285000,189.5145754814148,324.64564300328493,138.35663376003504,4568.031092166901,0.03
2/20,17/20,2900,290000,187.42149424552917,341.12859350442886,138.82982450723648,4617.097947359085,0.0
2/20,18/20,2950,295000,185.16837668418884,353.64896234869957,138.9094136878848,4702.449712753296,0.0
2/20,19/20,3000,300000,190.50755906105042,336.8709484040737,139.1471559330821,4757.98041176796,0.0
3/20,0/20,3050,305000,188.82841873168945,344.3491984009743,141.36084101349115,4827.601407766342,0.0
3/20,1/20,3100,310000,187.33012437820435,337.318695127964,144.7707906961441,4848.874140262604,0.0
3/20,2/20,3150,315000,189.20579600334167,335.72410502284765,142.74047105014324,4883.514667510986,0.0
3/20,3/20,3200,320000,70.8500428199768,319.5682012960315,142.52690947800875,4906.773059606552,0.01
3/20,4/20,3250,325000,70.39002966880798,328.2283818423748,140.57654751837254,4907.664232254028,0.0
3/20,5/20,3300,330000,66.41068577766418,352.17908576130867,143.77389626950026,4942.954861879349,0.01
3/20,6/20,3350,335000,71.8884642124176,332.30331981927156,143.31277029961348,4950.845437288284,0.0
3/20,7/20,3400,340000,66.2924370765686,331.09482035040855,143.18494985997677,4922.572132110596,0.01
3/20,8/20,3450,345000,65.3007504940033,298.0879729092121,142.4091965779662,4916.508953094482,0.0
3/20,9/20,3500,350000,71.7159481048584,301.8814508020878,142.4124033600092,4958.466975927353,0.0
3/20,10/20,3550,355000,66.16314578056335,324.92851758748293,142.40317188203335,4934.171020269394,0.0
3/20,11/20,3600,360000,67.11393451690674,307.0801771581173,141.42718203365803,4988.923958539963,0.0
3/20,12/20,3650,365000,70.46721863746643,313.12846330553293,140.62463834136724,5022.922172546387,0.04
3/20,13/20,3700,370000,65.20071363449097,320.31360091269016,140.79420683532953,5047.489950418472,0.02
3/20,14/20,3750,375000,68.45926570892334,317.0457675382495,140.7813659980893,5120.195693731308,0.13
3/20,15/20,3800,380000,66.14034628868103,311.66309624910355,141.79777544736862,5220.432441711426,0.04
3/20,16/20,3850,385000,64.6827540397644,326.7439885735512,145.9427214935422,5284.052597761154,0.04
