Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
4/20,9/20,4500,450000,71.02124118804932,5481.95966053009,928.3245378136635,161.1006215289235,0.0
4/20,10/20,4550,455000,74.80332112312317,5477.955303907394,942.1273352205753,168.72958798706532,0.0
4/20,11/20,4600,460000,74.9262752532959,5470.233367681503,965.9330698251724,169.7535815089941,0.0
4/20,12/20,4650,465000,74.07715487480164,5509.609315395355,950.8824509978294,167.94208021461964,0.0
4/20,13/20,4700,470000,74.39932155609131,5491.946300268173,962.1003096997738,168.31619761884212,0.0
4/20,14/20,4750,475000,73.02618336677551,5466.669711589813,924.8246482014656,175.06619949638844,0.0
4/20,15/20,4800,480000,72.3326621055603,5375.993135690689,934.2618654072285,181.38492706418037,0.01
4/20,16/20,4850,485000,70.97929787635803,5373.95822262764,942.1999042630196,185.32232016324997,0.0
4/20,17/20,4900,490000,72.07237410545349,5283.492540597916,935.7261851727962,188.17039267718792,0.0
4/20,18/20,4950,495000,70.65566992759705,5325.308403968811,913.9043855667114,193.53175400197506,0.0
4/20,19/20,5000,500000,72.93351888656616,5345.673624277115,991.0616067945957,191.29923640191555,0.0
5/20,0/20,5050,505000,72.15251135826111,5326.863382577896,998.6235721409321,192.64073826372623,0.0
5/20,1/20,5100,510000,73.87478804588318,5300.229061603546,960.6840198934078,194.4949011206627,0.15
5/20,2/20,5150,515000,74.0982916355133,5344.474145650864,974.7086011171341,196.5322019457817,0.06
5/20,3/20,5200,520000,75.01923775672913,5364.053073883057,993.1223759353161,202.1148389428854,0.11
5/20,4/20,5250,525000,76.1415388584137,5368.860971927643,1031.4583547115326,201.96121221780777,0.9
5/20,5/20,5300,530000,75.7847068309784,5369.359220504761,961.4235504567623,206.12813073396683,0.15
5/20,6/20,5350,535000,71.98408770561218,5392.09530210495,983.9725326895714,206.43302150070667,0.86
5/20,7/20,5400,540000,73.78938341140747,5435.445749282837,921.4781727492809,209.16727182269096,0.89
5/20,8/20,5450,545000,74.61288666725159,5479.608647584915,1026.1617322266102,215.35048489272594,0.69
5/20,9/20,5500,550000,75.73457646369934,5516.742475509644,1033.7864598631859,213.0800512880087,0.93
5/20,10/20,5550,555000,75.22088575363159,5481.6846561431885,959.703226596117,217.30945356190205,0.94
5/20,11/20,5600,560000,75.8795952796936,5441.399814367294,963.265905380249,217.49135844409466,0.87
5/20,12/20,5650,565000,73.75073051452637,5466.061869859695,983.5183655023575,213.1504201591015,0.93
5/20,13/20,5700,570000,73.261465549469,5477.36926651001,976.157618790865,218.68286396563053,0.93
5/20,14/20,5750,575000,72.34619331359863,5406.0022003650665,921.8951807916164,223.07910406589508,0.92
5/20,15/20,5800,580000,73.42407703399658,5305.192263126373,945.7246722877026,225.3242740482092,0.95
5/20,16/20,5850,585000,74.49894165992737,5205.9529728889465,972.5581311583519,219.44498202204704,0.86
5/20,17/20,5900,590000,73.85601806640625,5162.255704641342,1034.6349399089813,225.3315773010254,0.98
5/20,18/20,5950,595000,72.6585545539856,5118.406940698624,980.4224008321762,222.87110103666782,0.96
5/20,19/20,6000,600000,73.2624237537384,5059.969104528427,968.4340599775314,223.16128224134445,0.92
