Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
11/20,14/20,11750,1175000,77.1587827205658,291.113627679646,7857.403342723846,178.0844288021326,0.89
11/20,15/20,11800,1180000,73.63257193565369,280.9573265686631,7876.335530281067,179.41558845341206,0.88
11/20,16/20,11850,1185000,79.30878329277039,269.2179425954819,7897.301728248596,180.42784048616886,0.87
11/20,17/20,11900,1190000,74.4167275428772,270.7393458560109,7891.03567647934,179.59452290832996,0.91
11/20,18/20,11950,1195000,73.3769702911377,270.3377319574356,7881.870943546295,178.53040148317814,0.88
11/20,19/20,12000,1200000,79.52290487289429,260.71415954083204,7881.793980121613,177.74280901253223,0.89
12/20,0/20,12050,1205000,73.78431558609009,282.29027707874775,7904.071266174316,179.07221120595932,0.82
12/20,1/20,12100,1210000,76.67083191871643,280.18287935853004,7901.848038673401,180.44628815352917,0.77
12/20,2/20,12150,1215000,76.77630114555359,282.8640223443508,7877.344635486603,180.81349128484726,0.91
12/20,3/20,12200,1220000,72.74205899238586,261.1973896473646,7893.844706058502,179.6199422776699,0.9
12/20,4/20,12250,1225000,79.15034985542297,290.0176863744855,7912.84894990921,179.43696980178356,0.92
12/20,5/20,12300,1230000,73.30992317199707,289.1118815988302,7895.4891719818115,180.65244515240192,0.91
12/20,6/20,12350,1235000,73.13922047615051,280.27095694094896,7916.872789382935,178.93498036265373,0.9
12/20,7/20,12400,1240000,79.0080177783966,275.7476371899247,7944.474341392517,181.32390281558037,0.97
12/20,8/20,12450,1245000,72.23756194114685,276.36391405016184,7931.987908363342,182.61622051894665,0.89
12/20,9/20,12500,1250000,75.42856168746948,258.41954129189253,7911.7700181007385,180.40392231941223,0.84
12/20,10/20,12550,1255000,76.47631621360779,254.87032487988472,7950.486507892609,181.0640085786581,0.92
12/20,11/20,12600,1260000,72.78047895431519,270.1128327101469,7894.267750740051,186.02390770614147,0.89
12/20,12/20,12650,1265000,77.8538007736206,264.7747453674674,7889.816331386566,183.83468653261662,0.83
12/20,13/20,12700,1270000,76.09999799728394,264.0824988633394,7918.617359161377,183.59097188711166,0.9
12/20,14/20,12750,1275000,76.33649230003357,271.5934509411454,7928.94598865509,181.81442196667194,0.89
12/20,15/20,12800,1280000,78.77384209632874,282.9042204171419,7951.236968994141,181.2766819000244,0.9
12/20,16/20,12850,1285000,75.06941199302673,268.9685462638736,7990.386286735535,184.43561446666718,0.9
12/20,17/20,12900,1290000,75.31470346450806,272.3363496661186,7966.4595856666565,184.41223599016666,0.9
12/20,18/20,12950,1295000,79.9480938911438,266.2480252087116,7951.579957962036,186.2021635323763,0.74
12/20,19/20,13000,1300000,72.79785633087158,258.71696075052023,7924.020937919617,185.79029294848442,0.91
13/20,0/20,13050,1305000,77.01419162750244,259.2172974348068,7939.8567905426025,185.09434555470943,0.88
13/20,1/20,13100,1310000,76.4977388381958,258.6379602327943,7955.212831497192,186.5573104172945,0.93
13/20,2/20,13150,1315000,73.57905292510986,267.7711344733834,7943.640860557556,184.5456973463297,0.9
